county,price,fips
Anderson,143270,48001
Andrews,187310,48003
Angelina,162780,48005
Aransas,211020,48007
Archer,170920,48009
Armstrong,177490,48011
Atascosa,138580,48013
Austin,245860,48015
Bailey,111550,48017
Bandera,263280,48019
Bastrop,288310,48021
Baylor,88450,48023
Bee,111550,48025
Bell,252300,48027
Bexar,264000,48029
Blanco,343390,48031
Borden,171520,48033
Bosque,164930,48035
Bowie,160050,48037
Brazoria,297540,48039
Brazos,319890,48041
Brewster,217480,48043
Briscoe,86300,48045
Brooks,83900,48047
Brown,136450,48049
Burleson,147670,48051
Burnet,274810,48053
Caldwell,190640,48055
Calhoun,145300,48057
Callahan,125680,48059
Cameron,129290,48061
Camp,152360,48063
Carson,116450,48065
Cass,115980,48067
Castro,103290,48069
Chambers,281360,48071
Cherokee,144110,48073
Childress,120410,48075
Clay,137460,48077
Cochran,53380,48079
Coke,98620,48081
Coleman,99820,48083
Collin,485690,48085
Collingsworth,78160,48087
Colorado,192940,48089
Comal,441800,48091
Comanche,127350,48093
Concho,102450,48095
Cooke,206460,48097
Coryell,189600,48099
Cottle,62240,48101
Crane,126990,48103
Crockett,145060,48105
Crosby,71400,48107
Culberson,79830,48109
Dallam,121960,48111
Dallas,307160,48113
Dawson,99100,48115
Deaf Smith,109760,48117
Delta,156650,48119
Denton,444620,48121
DeWitt,173190,48123
Dickens,71100,48125
Dimmit,69060,48127
Donley,80310,48129
Duval,90010,48131
Eastland,98980,48133
Ector,188140,48135
Edwards,84140,48137
Ellis,341830,48141
El Paso,179540,48141
Erath,211370,48143
Falls,96230,48145
Fannin,189110,48147
Fayette,253620,48149
Fisher,80310,48151
Floyd,90840,48153
Foard,63080,48155
Fort Bend,371350,48157
Franklin,188150,48159
Freestone,163020,48161
Frio,120290,48163
Gaines,163260,48165
Galveston,315000,48167
Garza,94440,48169
Gillespie,388630,48171
Glasscock,243090,48173
Goliad,174910,48175
Gonzales,140160,48177
Gray,98270,48179
Grayson,277330,48181
Gregg,206430,48183
Grimes,218430,48185
Guadalupe,291380,48187
Hale,99580,48189
Hall,74810,48191
Hamilton,146140,48193
Hansford,123160,48195
Hardeman,69060,48197
Hardin,159680,48199
Harris,270650,48201
Harrison,190670,48203
Hartley,217360,48205
Haskell,71450,48207
Hays,404820,48209
Hemphill,224060,48211
Henderson,182170,48213
Hidalgo,131640,48215
Hill,137160,48217
Hockley,118010,48219
Hood,262480,48221
Hopkins,170680,48223
Houston,141350,48225
Howard,145060,48227
Hudspeth,63200,48229
Hunt,239400,48231
Hutchinson,103170,48233
Irion,131860,48235
Jack,120530,48237
Jackson,137760,48239
Jasper,127590,48241
Jeff Davis,180970,48243
Jefferson,167570,48245
Jim Hogg,105330,48247
Jim Wells,93360,48249
Johnson,277280,48251
Jones,88730,48253
Karnes,133930,48255
Kaufman,326710,48257
Kendall,470130,48259
Kent,109400,48263
Kerr,254100,48265
Kimble,157630,48267
King,27050,48269
Kinney,118250,48271
Kleberg,117300,48273
Knox,56250,48275
Lamar,146140,48277
Lamb,79230,48279
Lampasas,216420,48283
La Salle,99340,48275
Lavaca,211730,48285
Lee,226690,48287
Leon,150570,48289
Liberty,177290,48291
Limestone,139200,48293
Lipscomb,131780,48295
Live Oak,140640,48297
Llano,295150,48299
Lubbock,207400,48303
Lynn,112870,48305
McCulloch,103410,48323
McLennan,231250,48323
McMullen,106880,48323
Madison,140280,48305
Marion,117540,48305
Martin,176300,48317
Mason,283190,48319
Matagorda,162780,48321
Maverick,130220,48323
Medina,197400,48325
Menard,98860,48327
Midland,305470,48329
Milam,150930,48331
Mills,191140,48333
Mitchell,82350,48335
Montague,166130,48337
Montgomery,342130,48339
Moore,138000,48341
Morris,116940,48343
Motley,70620,48345
Nacogdoches,168640,48347
Navarro,138600,48349
Newton,97670,48351
Nolan,93720,48353
Nueces,192990,48355
Ochiltree,130700,48357
Oldham,125550,48359
Orange,173460,48361
Palo Pinto,152720,48363
Panola,144470,48365
Parker,409210,48367
Parmer,127350,48369
Pecos,135370,48371
Polk,151050,48373
Potter,123900,48375
Presidio,86300,48377
Rains,184080,48379
Randall,230960,48381
Reagan,123880,48383
Real,230400,48385
Red River,120170,48387
Reeves,117180,48389
Refugio,101020,48391
Roberts,168280,48393
Robertson,144230,48395
Rockwall,434910,48397
Runnels,101980,48399
Rusk,162760,48401
Sabine,136810,48403
San Augustine,86420,48405
San Jacinto,157390,48407
San Patricio,189230,48409
San Saba,144940,48411
Schleicher,106880,48413
Scurry,113590,48415
Shackelford,183240,48417
Shelby,104370,48419
Sherman,114060,48421
Smith,243980,48423
Somervell,268940,48425
Starr,97790,48427
Stephens,99100,48429
Sterling,94440,48431
Stonewall,66190,48433
Sutton,155120,48435
Swisher,93720,48437
Tarrant,329900,48439
Taylor,178920,48441
Terrell,113470,48443
Terry,101980,48445
Throckmorton,75170,48447
Titus,125430,48449
Tom Green,189940,48451
Travis,530730,48453
Trinity,110710,48455
Tyler,130340,48457
Upshur,185320,48459
Upton,103170,48461
Uvalde,121250,48463
Val Verde,136330,48465
Van Zandt,191860,48467
Victoria,210720,48469
Walker,246440,48471
Waller,281360,48473
Ward,123160,48475
Washington,261160,48477
Webb,185460,48479
Wharton,187070,48481
Wheeler,102330,48483
Wichita,146440,48485
Wilbarger,91200,48487
Willacy,74210,48489
Williamson,453530,48491
Wilson,276320,48493
Winkler,104610,48495
Wise,302610,48497
Wood,184200,48499
Yoakum,185520,48501
Young,162180,48503
Zapata,99100,48505
Zavala,75760,48507